;Portfolio;Identifier;ISIN;AssetClass;AssetID;DollarRateConvexity1pc;Duration;EquityDelta;FXDelta;InflationDelta1bp;MacaulayDuration;NetExposure;Nominal;RateDelta1bp;SpreadDelta1bp;SpreadDuration;TV;TVPercent;TV_prev;Counterparty;LiquidityScore;TV_before_stress
3506;400804;FR001400IEQ0;FR001400IEQ0;Bond;RENAULT S.A. (EUR 4.875, 14-Jun-2028);3294.728187;2.664441043;0.0;0.0;0.0;2.749042757;3258668.63;3000000.0;-854.0520728911168;-854.0520728911168;2.664441043;3205370.504012;0.121128174;3258668.63;;6.0;3258668.63
3507;400804;FR001400IIO6;FR001400IIO6;Bond;THALES SA (EUR 3.625, 14-Jun-2029);6049.562418;3.614587173;0.0;0.0;0.0;3.717607272;3488566.521;3300000.0;-1233.3051204961778;-1233.3051204961778;3.614587173;3412022.0691;0.129673723;3488566.521;;6.0;3488566.521
3508;400804;FR001400IIS7;FR001400IIS7;Bond;LA POSTE (EUR 4.000, 12-Jun-2035);16778.56238;7.933277449;0.0;0.0;0.0;8.226739066;2110980.0;2000000.0;-1592.883697280013;-1592.883697280013;7.933277449;2007850.737;0.078467369;2110980.0;;7.0;2110980.0
3509;400804;FR001400IJ13;FR001400IJ13;Bond;GROUPE BPCE SA (EUR 4.750, 14-Jun-2034);11821.37944;6.512619879;0.0;0.0;0.0;6.776749173;2170479.452;2000000.0;-1351.422557851504;-1351.422557851504;6.512619879;2075082.813;0.080679027;2170479.452;;7.0;2170479.452
3510;400804;FR001400KDS4;FR001400KDS4;Bond;CREDIT AGRICOLE SA (EUR 5.500, 28-Aug-2033);4068.569128;3.005253041;0.0;0.0;0.0;3.118938646;3258441.781;3000000.0;-942.5762582407499;-942.5762582407499;3.005253041;3136428.93088;0.121119742;3258441.781;;7.0;3258441.781
3511;400804;FR001400KSZ7;FR001400KSZ7;Bond;CREDIT AGRICOLE SA (EUR 5.875, 25-Oct-2033);17670.45194;6.374861549;0.0;0.0;0.0;6.654480545;3371851.644;3000000.0;-1980.5732053212912;-1980.5732053212912;6.374861549;3106848.97248;0.125335307;3371851.644;;6.0;3371851.644
3512;400804;FR001400KY69;FR001400KY69;Bond;RENAULT S.A. (EUR 4.875, 2-Oct-2029);6106.20884;3.77956065;0.0;0.0;0.0;3.910379843;3237213.288;3000000.0;-1195.1396144139164;-1195.1396144139164;3.77956065;3162112.54452;0.120330656;3237213.288;;7.0;3237213.288
3513;400804;FR001400KZQ1;FR001400KZQ1;Bond;SOCIETE GENERALE SA (EUR 4.750, 28-Sep-2029);2855.657382;3.133992609;0.0;0.0;0.0;3.239239173;2137890.411;2000000.0;-655.8981562536577;-655.8981562536577;3.133992609;2092851.6371419998;0.079467657;2137890.411;;7.0;2137890.411
3514;400804;FR001400L255;FR001400L255;Bond;THALES SA (EUR 4.125, 18-Oct-2028);4043.421425;3.059775364;0.0;0.0;0.0;3.14633965;3176682.74;3000000.0;-953.8949477260609;-953.8949477260609;3.059775364;3117532.6102340003;0.118080671;3176682.74;;6.0;3176682.74
3515;400804;FR001400LCK1;FR001400LCK1;Bond;INFRA FOCH TOPCO SAS (EUR 4.500, 18-Apr-2030);-15181.32426;4.170222022;0.0;0.0;0.0;4.312111574;3817102.877;3500000.0;-1551.1174406638036;-1551.1174406638036;4.170222022;3719508.05612;0.141885768;3817102.877;;6.0;3817102.877
