Portfolio,d1_id,TV,Duration_t,DollarRateConvexity1pc,TotalEffect,Counterparty,ISIN,AssetClass,TV_day,shock_rates_dec,Duration_next,AssetType,Sector1,Seniority,CompositeBroadRating,MaturityDate,Maturity,Maturity Band,EffectiveMaturityDate,LiquidityScore,Country,{Class_Rating},TV_change
900200,INFS10000345,717423.2938995262,19.1369863013699,-1170.7719146807192,-595233.4179299328,JPMSE,,Index Linked Swap,122189.87596959341,0.0025,19.107717003502884,Index Linked Swap,Interest rates,,N/R,2044-05-15 00:00:00,19.136986301369863,10+,,,,NR,595233.4179299328
900200,INFS10000347,705347.6431237764,19.136986301369877,-1131.6908057268174,-594655.6890212437,CEP,,Index Linked Swap,110691.9541025327,0.0025,19.108694031226708,Index Linked Swap,Interest rates,,N/R,2044-05-15 00:00:00,19.136986301369863,10+,,,,NR,594655.6890212437
900200,INFS10000349,-539589.4920262587,19.136986301369927,946.1288287757332,418452.37478575914,GIPB,,Index Linked Swap,-121137.11724049959,0.0025,19.16063952208932,Index Linked Swap,Interest rates,,N/R,2044-05-15 00:00:00,19.136986301369863,10+,,,,NR,-418452.37478575914
900200,INFS10000350,-239383.74973853177,19.13698630136992,411.4967215943095,189132.31162272143,CA,,Index Linked Swap,-50251.438115810335,0.0025,19.147273719409778,Index Linked Swap,Interest rates,,N/R,2044-05-15 00:00:00,19.136986301369863,10+,,,,NR,-189132.31162272143
900200,INFS10000353,-728042.6122863288,19.136986301369856,1226.2525069093203,586334.9051004994,GIPB,,Index Linked Swap,-141707.7071858294,0.0025,19.167642614042588,Index Linked Swap,Interest rates,,N/R,2044-05-15 00:00:00,19.136986301369863,10+,,,,NR,-586334.9051004994
900200,IRSB100007718,-7060595.693452269,29.648612801537897,-831663.43911574,523342.1696584307,JPMSE,,Swap,-6537253.523793838,0.0025,8.857026823644397,IR Swap,Interest rates,,N/R,2073-03-07 00:00:00,47.967123287671235,10+,,,,NR,-523342.16965843085
900200,IRSB100008990,-16121685.176917745,0.6547943870369319,-691.2266131741188,26390.972408555615,CA,,Swap,-16095294.20450919,0.0025,0.6375137217075789,IR Swap,Interest rates,,N/R,2025-11-25 00:00:00,0.6547945205479452,0-1,,,,NR,-26390.972408555448
900200,IRSB100009460,-45010909.40552578,0.5863012296991261,-1547.2522804791583,65974.87883583934,BNPP,,Swap,-44944934.52668994,0.0025,0.5476199226871472,IR Swap,Interest rates,,N/R,2025-10-31 00:00:00,0.5863013698630137,0-1,,,,NR,-65974.87883584201
900200,LU2550878602,18646872.537600003,0.5360026175322387,429.3950903835528,-79875.92564754072,,LU2550878602,Fund Unit,18566996.61195246,0.0025,0.5467374947918274,Fund Unit,Multi-sector Funds,,N/R,,,,,,,NR,79875.92564754188
900200,OEM25 Cmdty,0.0,0.0,-26492.178986517905,186533.6549726389,,,Bond Future,186533.6549726389,0.0025,-0.6623044746629476,Bond Future,Sovereigns,,AAA,2025-06-06 00:00:00,0.18356164383561643,0-1,2030-04-18,,Germany,IG,-186533.6549726389
