day_index,day_label,Portfolio,Identifier,AssetClass,TV_start,TV_pre_collateral,TV_end_of_day,Stress_PnL,Collateral_sales
2,Day 2,300191,FR0129061463,Bond,-4186.7788566,-4185.622220447619,-4185.622220447619,1.1566361523809974,0.0
2,Day 2,300191,FR0129061638,Bond,-3610.8151583999997,-3609.524480169336,-3609.524480169336,1.290678230663616,0.0
2,Day 2,300191,FR0129065985,Bond,-19529.292718,-19514.16074566363,-19514.16074566363,15.131972336370382,0.0
2,Day 2,300191,FR0129066371,Bond,-12180.0,-12170.4996,-12170.4996,9.500400000000809,0.0
2,Day 2,300191,FR0129083459,Bond,-52206.6048855,-52070.330563138246,-52070.330563138246,136.27432236175082,0.0
2,Day 2,300191,FR0129101939,Bond,-6290.3145227,-6282.453014485174,-6282.453014485174,7.8615082148262445,0.0
2,Day 2,300191,FR0129102523,Bond,-821.3285586,-821.2084982023463,-821.2084982023463,0.12006039765367404,0.0
2,Day 2,300191,FR0129104735,Bond,-97218.37517525,-96844.07774920079,-96844.07774920079,374.29742604920466,0.0
2,Day 2,300191,FR0129105732,Bond,-1264.5133776000002,-1264.225668179622,-1264.225668179622,0.28770942037817804,0.0
2,Day 2,300191,FR0129106086,Bond,-2267.7813846999998,-2267.103043478469,-2267.103043478469,0.6783412215308999,0.0
2,Day 2,300191,FR0129106409,Bond,-5476.28047135,-5474.160638958819,-5474.160638958819,2.119832391181262,0.0
2,Day 2,300191,FR0129107100,Bond,-4560.0,-4558.3584,-4558.3584,1.6415999999999258,0.0
2,Day 2,300191,FR0129107423,Bond,-37505.28825,-37417.450163344576,-37417.450163344576,87.83808665542165,0.0
2,Day 2,300191,FR0129108546,Bond,-60446.4170215,-60205.032036663906,-60205.032036663906,241.38498483609146,0.0
2,Day 2,300191,FR0129108900,Bond,-17459.935193999998,-17426.16513936819,-17426.16513936819,33.77005463180831,0.0
2,Day 2,300191,FR0129108918,Bond,-23000.151191999998,-22967.274167900156,-22967.274167900156,32.87702409984195,0.0
2,Day 2,300191,FR0129109825,Bond,-16390.015680250002,-16323.434092641384,-16323.434092641384,66.58158760861807,0.0
2,Day 2,300191,FR0129110146,Bond,-104040.21426000001,-103679.62238318214,-103679.62238318214,360.59187681786716,0.0
2,Day 2,300191,IRSB100008195,Swap,5857.317476499999,5855.512044827231,5855.512044827231,-1.8054316727684636,0.0
2,Day 2,300191,IRSB100008252,Swap,3989.9548787,3988.5064036946296,3988.5064036946296,-1.4484750053702555,0.0
2,Day 2,300191,IRSB100008289,Swap,3807.5217727000004,3806.00912245861,3806.00912245861,-1.5126502413904745,0.0
2,Day 2,300191,IRSB100008398,Swap,7443.841615275,7440.017565202325,7440.017565202325,-3.824050072674254,0.0
2,Day 2,300191,IRSB100008403,Swap,3970.00364445,3967.9641742968734,3967.9641742968734,-2.0394701531267856,0.0
2,Day 2,300191,IRSB100008630,Swap,7512.2755695999995,7504.557198694092,7504.557198694092,-7.71837090590725,0.0
2,Day 2,300191,IRSB100008770,Swap,27724.606665925,27693.08308602018,27693.08308602018,-31.523579904820508,0.0
2,Day 2,300191,IRSB100008780,Swap,28557.245028474994,28523.796668933403,28523.796668933403,-33.448359541591344,0.0
2,Day 2,300191,IRSB100008821,Swap,644.9189675250001,644.8173636163177,644.8173636163177,-0.10160390868236391,0.0
2,Day 2,300191,IRSB100008858,Swap,32406.063470775,32363.001929876973,32363.001929876973,-43.06154089802658,0.0
2,Day 2,300191,IRSB100009066,Swap,8804.201220449999,8801.487455307773,8801.487455307773,-2.713765142225384,0.0
2,Day 2,300191,IRSB100009071,Swap,19992.414519525002,19978.720524772107,19978.720524772107,-13.693994752895378,0.0
